date,entity_id,brand,product_name,category,alert_type,severity,demand_index,shift_strength,marker_label,abs_demand_error,event_type,message
2025-01-03,101,SoundWave,SoundPods X3,earbuds,regime_shift,medium,28.43467496343389,16.27777490775424,Statistical anomaly detected,,,
2025-01-13,101,SoundWave,SoundPods X3,earbuds,regime_shift,medium,23.93361900863352,23.38570781100947,Statistical anomaly detected,,,
2025-01-16,101,SoundWave,SoundPods X3,earbuds,regime_shift,high,29.363068397797097,27.54519357607772,Statistical anomaly detected,,,
2025-01-19,101,SoundWave,SoundPods X3,earbuds,regime_shift,medium,27.78434869118998,16.923326073948573,Statistical anomaly detected,,,
2025-01-31,101,SoundWave,SoundPods X3,earbuds,regime_shift,high,37.62959124657169,28.528224446429352,Statistical anomaly detected,,,
2025-02-01,101,SoundWave,SoundPods X3,earbuds,regime_shift,medium,44.22686590605757,17.532145423150002,Statistical anomaly detected,,,
2025-02-02,101,SoundWave,SoundPods X3,earbuds,regime_shift,medium,50.81647182808076,14.899554347848644,Statistical anomaly detected,,,
2025-02-04,101,SoundWave,SoundPods X3,earbuds,regime_shift,medium,38.27340590741807,20.59338713270904,Statistical anomaly detected,,,
2025-02-05,101,SoundWave,SoundPods X3,earbuds,regime_shift,high,21.66467989737963,43.394951706713336,Statistical anomaly detected,,,
2025-02-06,101,SoundWave,SoundPods X3,earbuds,regime_shift,high,10.0,53.84192128677834,Statistical anomaly detected,,,
2025-02-08,101,SoundWave,SoundPods X3,earbuds,regime_shift,high,20.321012451243817,100.0,Statistical anomaly detected,,,
2025-02-09,101,SoundWave,SoundPods X3,earbuds,regime_shift,high,28.612293295231886,40.801514510565504,Statistical anomaly detected,,,
2025-02-17,101,SoundWave,SoundPods X3,earbuds,regime_shift,medium,35.138648405506856,17.645915253435817,Statistical anomaly detected,,,
2025-02-26,101,SoundWave,SoundPods X3,earbuds,regime_shift,medium,40.80671580028473,16.10587240755368,Statistical anomaly detected,,,
2025-02-27,101,SoundWave,SoundPods X3,earbuds,regime_shift,high,54.67206507430127,33.97810630455047,Statistical anomaly detected,,,
2025-03-01,101,SoundWave,SoundPods X3,earbuds,regime_shift,medium,40.27955131108599,19.22280324695045,Statistical anomaly detected,,,
2025-03-02,101,SoundWave,SoundPods X3,earbuds,regime_shift,high,25.56076621905556,36.54158155425984,Statistical anomaly detected,,,
2025-03-03,101,SoundWave,SoundPods X3,earbuds,regime_shift,high,12.229861106438245,52.15377738825029,Statistical anomaly detected,,,
2025-03-04,101,SoundWave,SoundPods X3,earbuds,regime_shift,medium,10.018691526986078,18.080087420519643,Statistical anomaly detected,,,
2025-03-05,101,SoundWave,SoundPods X3,earbuds,regime_shift,high,16.560125353590582,65.2922969929224,Statistical anomaly detected,,,
2025-03-06,101,SoundWave,SoundPods X3,earbuds,regime_shift,high,24.51132513854681,48.014128004364665,Statistical anomaly detected,,,
2025-03-07,101,SoundWave,SoundPods X3,earbuds,regime_shift,high,34.96024475272658,42.62894623248121,Statistical anomaly detected,,,
2025-03-08,101,SoundWave,SoundPods X3,earbuds,regime_shift,medium,43.18785153804596,23.53417959031223,Statistical anomaly detected,,,
2025-03-09,101,SoundWave,SoundPods X3,earbuds,regime_shift,medium,53.76905160448182,24.50040853992108,Statistical anomaly detected,,,
2025-03-13,101,SoundWave,SoundPods X3,earbuds,regime_shift,medium,57.02385670057403,14.503130011355548,Statistical anomaly detected,,,
2025-03-24,101,SoundWave,SoundPods X3,earbuds,regime_shift,medium,34.224871117416725,14.102756029459618,Statistical anomaly detected,,,
2025-01-16,102,EchoTech,EchoBeats Lite,earbuds,regime_shift,medium,23.00410354243979,18.61536365354024,Statistical anomaly detected,,,
2025-01-17,102,EchoTech,EchoBeats Lite,earbuds,regime_shift,medium,26.479326299847628,15.106968854476222,Statistical anomaly detected,,,
2025-01-18,102,EchoTech,EchoBeats Lite,earbuds,regime_shift,medium,30.25386691368741,14.254670119237534,Statistical anomaly detected,,,
2025-01-24,102,EchoTech,EchoBeats Lite,earbuds,regime_shift,medium,21.26480905982966,15.303832745816692,Statistical anomaly detected,,,
2025-01-25,102,EchoTech,EchoBeats Lite,earbuds,regime_shift,high,10.01122186219793,52.92117679481236,Statistical anomaly detected,,,
2025-01-27,102,EchoTech,EchoBeats Lite,earbuds,regime_shift,high,16.46652527577341,55.00134219074013,Statistical anomaly detected,,,
2025-01-28,102,EchoTech,EchoBeats Lite,earbuds,regime_shift,high,22.43573989022903,36.25060244639411,Statistical anomaly detected,,,
2025-01-29,102,EchoTech,EchoBeats Lite,earbuds,regime_shift,medium,25.97961371404981,15.79566281816347,Statistical anomaly detected,,,
2025-02-08,102,EchoTech,EchoBeats Lite,earbuds,regime_shift,high,43.86508771667022,25.987304675657352,Statistical anomaly detected,,,
2025-02-10,102,EchoTech,EchoBeats Lite,earbuds,regime_shift,medium,55.123860166594426,13.105499259532882,Statistical anomaly detected,,,
